detectTime,keypoints,keypointsDist,computeTime,matched
0.0618527,725,"{4:185,5:222,6:4,8:187,11:80,13:6,16:36,19:1,22:3,27:1}",0.0444245,388
0.0501677,710,"{4:183,5:220,6:6,8:183,11:76,13:6,16:31,19:1,22:3,27:1}",0.0437465,380
0.0505325,705,"{4:180,5:214,6:8,8:183,9:1,11:78,13:4,16:33,19:1,22:3}",0.0456818,386
0.0522957,726,"{4:181,5:223,6:8,8:190,11:81,13:4,16:37,22:2}",0.0450447,383
0.0517638,732,"{4:177,5:224,6:4,8:192,11:86,13:6,16:39,22:4}",0.0423938,379
0.0556982,724,"{4:170,5:226,6:4,8:189,11:86,13:4,16:42,22:3}",0.0445746,408
0.0530233,736,"{4:168,5:235,6:6,8:187,11:87,13:6,16:43,22:4}",0.043907,376
0.0487929,720,"{4:161,5:225,6:7,8:187,9:1,11:85,13:6,16:45,22:2,27:1}",0.0444409,388
0.0494171,737,"{4:163,5:230,6:5,8:194,9:1,11:95,13:5,16:42,22:2}",0.0433606,376
0.0486226,723,"{4:161,5:230,6:5,8:189,11:93,13:5,16:37,22:3}",0.0443077,0
