detectTime,keypoints,keypointsDist,computeTime,matched
0.0251819,274,"{31:60,37:47,44:41,53:35,64:29,77:23,92:20,111:19}",0.00111405,147
0.00706543,280,"{31:58,37:52,44:43,53:34,64:29,77:25,92:20,111:19}",0.00143274,162
0.00732963,286,"{31:64,37:51,44:42,53:35,64:30,77:25,92:22,111:17}",0.00149423,151
0.00595514,284,"{31:61,37:52,44:42,53:35,64:28,77:26,92:22,111:18}",0.00123011,148
0.00556089,278,"{31:59,37:51,44:40,53:36,64:29,77:24,92:21,111:18}",0.00287169,149
0.0050533,287,"{31:62,37:51,44:43,53:37,64:30,77:26,92:20,111:18}",0.000993125,164
0.00630433,288,"{31:61,37:51,44:42,53:38,64:30,77:26,92:21,111:19}",0.0010324,165
0.00561046,291,"{31:65,37:51,44:43,53:38,64:29,77:25,92:21,111:19}",0.00166517,178
0.00569012,286,"{31:61,37:53,44:43,53:35,64:30,77:25,92:21,111:18}",0.00110633,149
0.00559036,283,"{31:62,37:51,44:43,53:35,64:29,77:25,92:20,111:18}",0.000999289,0
