detectTime,keypoints,keypointsDist,computeTime,matched
0.0930135,772,"{1:89,2:279,3:129,4:67,5:54,6:32,7:17,8:11,9:10,10:17,11:5,12:8,13:6,14:7,15:4,16:1,17:6,18:2,19:1,20:7,21:5,23:1,24:3,25:2,26:1,28:1,30:1,40:1,51:1,63:2,76:1,126:1}",0.145756,232
0.0734552,730,"{1:79,2:248,3:137,4:76,5:40,6:31,7:16,8:16,9:8,10:13,11:11,12:9,13:5,14:1,15:2,16:2,17:4,18:4,20:5,21:3,22:1,23:2,24:1,25:2,26:2,27:1,28:1,30:2,33:1,37:1,49:2,58:1,59:1,65:1,123:1}",0.145629,235
0.0705785,733,"{1:87,2:265,3:128,4:74,5:44,6:22,7:16,8:14,9:13,10:9,11:6,12:13,13:8,14:1,15:2,16:3,17:3,18:1,19:2,20:5,21:1,22:2,23:1,24:2,25:1,26:4,30:1,31:1,32:1,45:1,47:1,65:1}",0.145248,227
0.0690323,714,"{1:91,2:254,3:112,4:73,5:43,6:29,7:16,8:22,9:7,10:8,11:8,12:7,13:4,14:4,15:2,16:5,17:4,18:1,19:2,20:3,21:2,23:5,24:1,25:3,26:1,31:1,32:1,34:1,45:1,48:1,49:1,54:1}",0.144125,233
0.0700819,702,"{1:85,2:254,3:125,4:73,5:35,6:32,7:10,8:17,9:5,10:8,11:10,12:6,13:4,14:2,15:3,16:6,17:2,19:2,20:2,21:4,22:2,23:1,24:4,25:4,27:1,30:1,35:1,38:1,44:1,50:1}",0.141626,229
0.0696718,740,"{1:94,2:281,3:115,4:79,5:38,6:31,7:7,8:14,9:13,10:9,11:3,12:10,13:11,15:5,16:3,17:1,19:3,20:1,21:2,22:3,23:2,24:3,25:4,26:1,31:1,32:1,38:1,42:1,43:1,47:1,67:1}",0.14305,237
0.0721162,748,"{1:97,2:249,3:132,4:72,5:57,6:28,7:12,8:12,9:11,10:18,11:3,12:8,13:7,14:3,15:4,16:2,17:3,18:4,19:1,20:2,21:2,22:1,23:1,24:3,25:5,26:1,29:1,31:1,41:1,42:2,43:1,44:1,55:1,56:1,68:1}",0.146148,222
0.0703081,745,"{1:91,2:276,3:128,4:67,5:54,6:27,7:13,8:9,9:8,10:9,12:6,13:10,14:5,15:3,16:2,17:3,18:2,19:3,20:2,21:1,22:3,24:3,25:5,27:2,28:1,30:1,31:1,32:2,33:1,39:1,40:2,41:1,49:1,57:1,106:1}",0.144902,246
0.070888,790,"{1:97,2:290,3:142,4:69,5:51,6:22,7:11,8:17,9:14,10:9,11:5,12:7,13:9,14:3,15:4,16:7,17:2,18:1,19:3,20:3,21:2,22:1,23:2,24:1,25:4,26:4,32:1,33:1,34:1,36:1,39:3,40:1,55:1,104:1}",0.140181,249
0.0699792,757,"{1:88,2:264,3:131,4:89,5:48,6:27,7:20,8:20,9:11,10:6,11:7,12:4,13:6,14:2,15:7,16:2,17:2,19:3,20:2,22:1,23:1,25:3,26:1,27:1,30:2,33:1,37:1,38:1,39:1,40:2,52:1,71:1,103:1}",0.13923,0
